# packages in environment at /home/bittervan/Tools/miniforge3/envs/cuda12:
#
# Name                                  Version          Build                       Channel
_libgcc_mutex                           0.1              conda_forge                 conda-forge
_openmp_mutex                           4.5              7_kmp_llvm                  conda-forge
alsa-lib                                1.2.15.3         hb03c661_0                  conda-forge
aom                                     3.9.1            hac33072_0                  conda-forge
attr                                    2.5.2            h39aace5_0                  conda-forge
binutils_impl_linux-64                  2.45             default_hfdba357_105        conda-forge
binutils_linux-64                       2.45             default_h4852527_105        conda-forge
bzip2                                   1.0.8            hda65f42_8                  conda-forge
ca-certificates                         2026.1.4         hbd8a1cb_0                  conda-forge
cairo                                   1.18.4           he90730b_1                  conda-forge
cccl                                    2.3.2            h6103f9b_1                  conda-forge
cpython                                 3.13.11          py313hd8ed1ab_101           conda-forge
cuda-cccl                               12.4.127         ha770c72_2                  conda-forge
cuda-cccl_linux-64                      12.4.127         ha770c72_2                  conda-forge
cuda-crt-dev_linux-64                   12.4.131         ha770c72_1                  conda-forge
cuda-crt-tools                          12.4.131         ha770c72_1                  conda-forge
cuda-cudart                             12.4.127         he02047a_2                  conda-forge
cuda-cudart-dev                         12.4.127         he02047a_2                  conda-forge
cuda-cudart-dev_linux-64                12.4.127         h85509e4_2                  conda-forge
cuda-cudart-static                      12.4.127         he02047a_2                  conda-forge
cuda-cudart-static_linux-64             12.4.127         h85509e4_2                  conda-forge
cuda-cudart_linux-64                    12.4.127         h85509e4_2                  conda-forge
cuda-cupti                              12.4.127         he02047a_2                  conda-forge
cuda-driver-dev                         12.4.127         he02047a_2                  conda-forge
cuda-driver-dev_linux-64                12.4.127         h85509e4_2                  conda-forge
cuda-libraries                          12.4.1           ha770c72_1                  conda-forge
cuda-libraries-dev                      12.4.1           ha770c72_1                  conda-forge
cuda-nvcc                               12.4.131         hcdd1206_1                  conda-forge
cuda-nvcc-dev_linux-64                  12.4.131         ha770c72_1                  conda-forge
cuda-nvcc-impl                          12.4.131         hd3aeb46_1                  conda-forge
cuda-nvcc-tools                         12.4.131         hd3aeb46_1                  conda-forge
cuda-nvcc_linux-64                      12.4.131         h8a487aa_1                  conda-forge
cuda-nvrtc                              12.4.127         he02047a_2                  conda-forge
cuda-nvrtc-dev                          12.4.127         he02047a_2                  conda-forge
cuda-nvtx                               12.4.127         he02047a_2                  conda-forge
cuda-nvvm-dev_linux-64                  12.4.131         ha770c72_1                  conda-forge
cuda-nvvm-impl                          12.4.131         h59595ed_1                  conda-forge
cuda-nvvm-tools                         12.4.131         h59595ed_1                  conda-forge
cuda-opencl                             12.4.127         he02047a_1                  conda-forge
cuda-opencl-dev                         12.4.127         he02047a_1                  conda-forge
cuda-profiler-api                       12.4.127         ha770c72_2                  conda-forge
cuda-runtime                            12.4.1           ha804496_0                  conda-forge
cuda-version                            12.4             h3060b56_3                  conda-forge
dav1d                                   1.2.1            hd590300_0                  conda-forge
dbus                                    1.16.2           h24cb091_1                  conda-forge
ffmpeg                                  8.0.1            gpl_h558b6b9_911            conda-forge
filelock                                3.20.3           pyhd8ed1ab_0                conda-forge
fmt                                     12.1.0           hff5e90c_0                  conda-forge
font-ttf-dejavu-sans-mono               2.37             hab24e00_0                  conda-forge
font-ttf-inconsolata                    3.000            h77eed37_0                  conda-forge
font-ttf-source-code-pro                2.038            h77eed37_0                  conda-forge
font-ttf-ubuntu                         0.83             h77eed37_3                  conda-forge
fontconfig                              2.15.0           h7e30c49_1                  conda-forge
fonts-conda-ecosystem                   1                0                           conda-forge
fonts-conda-forge                       1                hc364b38_1                  conda-forge
freetype                                2.14.1           ha770c72_0                  conda-forge
fribidi                                 1.0.16           hb03c661_0                  conda-forge
fsspec                                  2026.1.0         pyhd8ed1ab_0                conda-forge
gcc_impl_linux-64                       12.4.0           h26ba24d_2                  conda-forge
gcc_linux-64                            12.4.0           h6b7512a_10                 conda-forge
gdk-pixbuf                              2.44.4           h2b0a6b4_0                  conda-forge
giflib                                  5.2.2            hd590300_0                  conda-forge
glslang                                 16.2.0           hfd11570_0                  conda-forge
gmp                                     6.3.0            hac33072_2                  conda-forge
gmpy2                                   2.2.1            py313h86d8783_2             conda-forge
graphite2                               1.3.14           hecca717_2                  conda-forge
gxx_impl_linux-64                       12.4.0           h3ff227c_2                  conda-forge
gxx_linux-64                            12.4.0           h8489865_10                 conda-forge
harfbuzz                                12.3.2           h6083320_0                  conda-forge
icu                                     78.2             h33c6efd_0                  conda-forge
intel-gmmlib                            22.9.0           hb700be7_0                  conda-forge
intel-media-driver                      25.3.4           hecca717_0                  conda-forge
jinja2                                  3.1.6            pyhcf101f3_1                conda-forge
kaldi                                   5.5.1172         cpu_h5f874f2_3              conda-forge
kernel-headers_linux-64                 6.12.0           he073ed8_5                  conda-forge
lame                                    3.100            h166bdaf_1003               conda-forge
lcms2                                   2.18             h0c24ade_0                  conda-forge
ld_impl_linux-64                        2.45             default_hbd61a6d_105        conda-forge
lerc                                    4.0.0            h0aef613_1                  conda-forge
level-zero                              1.27.0           hb700be7_0                  conda-forge
libabseil                               20250512.1       cxx17_hba17884_0            conda-forge
libass                                  0.17.4           h96ad9f0_0                  conda-forge
libavif16                               1.3.0            h316e467_3                  conda-forge
libblas                                 3.11.0           5_h5875eb1_mkl              conda-forge
libbrotlicommon                         1.2.0            hb03c661_1                  conda-forge
libbrotlidec                            1.2.0            hb03c661_1                  conda-forge
libbrotlienc                            1.2.0            hb03c661_1                  conda-forge
libcap                                  2.77             h3ff7636_0                  conda-forge
libcblas                                3.11.0           5_hfef963f_mkl              conda-forge
libcublas                               12.4.5.8         he02047a_2                  conda-forge
libcublas-dev                           12.4.5.8         he02047a_2                  conda-forge
libcufft                                11.2.1.3         he02047a_2                  conda-forge
libcufft-dev                            11.2.1.3         he02047a_2                  conda-forge
libcufile                               1.9.1.3          he02047a_2                  conda-forge
libcufile-dev                           1.9.1.3          he02047a_2                  conda-forge
libcurand                               10.3.5.147       he02047a_2                  conda-forge
libcurand-dev                           10.3.5.147       he02047a_2                  conda-forge
